分類,商品標籤,商品名稱,描述,價格
通訊/平板,UG50590 / 名稱：UGREEN綠聯 Micro USB轉USB-C/Type-C轉接頭(50590,UGREEN綠聯 Micro USB轉USB-C/Type-C轉接頭(50590),"['◆50590', '◆快速充電 支援FCP/QC ◆掛繩設計 不易丟失 ◆鋁合金外殼 耐用不生鏽', '◆接口緊密對接不鬆動更耐用 ◆用Type-C線充安卓手機更方便']",149 元
通訊/平板,UG50747 / 名稱：綠聯 手機平板通用立式支架 黑色 (50747),UGREEN綠聯 手機平板通用立式支架 黑色 (50747),"['◆手機平板通用', '◆底部防滑硅膠墊', '◆0-100度角度可調節']",199 元
通訊/平板,UG50940 / 名稱：綠聯 USB-C/Type-C快充線 金屬編織L型 0.5M,綠聯 USB-C/Type-C快充線 金屬編織L型 0.5M (50940) TYPEC充電線 TYPEC傳輸線,"['◆原廠編號：50942', '◆選用28/22AWG銅芯 降低電阻減少發燙 ◆鋁合金接頭 抗氧化不生鏽 ◆尼龍編織外被 柔軟韌性佳', '◆3A (MAX)大電流 充電快 ◆過壓保護功能 不傷手機']",200 元
通訊/平板,UG50942 / 名稱：綠聯 USB-C/Type-C快充傳輸線 金屬編織L型/電競專用版(2公尺),綠聯 USB-C/Type-C快充傳輸線 金屬編織L型/電競專用版(2公尺) (50942),"['◆50942', '◆選用28/22AWG銅芯 降低電阻減少發燙 ◆鋁合金接頭 抗氧化不生鏽', '◆尼龍編織外被 柔軟韌性佳 ◆3A (MAX)大電流 充電快 ◆過壓保護功能 不傷手機']",299 元
通訊/平板,UG50994 / 名稱：綠聯 USB Type C轉DP傳輸線 1.5M(50994),UGREEN綠聯 1.5M USB Type C轉DP傳輸線(50994),"['◆UGR-50994', '◆注意:此產品為黑色', '◆4K畫質 音視頻同步◆24K鍍金 耐插拔抗氧化 ◆即插即用 無須驅動']",999 元
通訊/平板,UG60117 / 名稱：綠聯 USB-C/Type-C快充線 黑色 升級版1.5M(60117,UGREEN綠聯 1.5M USB-C/Type-C快充傳輸線 黑色 升級版 1.5M(60117),"['◆3A(MAX)大電流 快不可擋 ◆支援華為/小米快充', '◆10mm網尾加長 耐用不斷裂 ◆無干擾 充電更穩定', '◆一體成型接頭 不鬆動耐插拔 ◆加厚PVC材質 有效抵抗日常磨損']",129 元
通訊/平板,UG60121 / 名稱：綠聯 USB-C/Type-C 快充傳輸線 白色 1米 升級版,UGREEN綠聯 1M USB-C/Type-C快充傳輸線 白色 升級版 (60121),"['◆UGR-60121', '◆3A(MAX)大電流 快不可擋◆10mm網尾加長 耐用不斷裂', '◆一體成型接頭 不鬆動耐插拔 ◆加厚PVC材質 有效抵抗日常磨損']",99 元
通訊/平板,UG60124 / 名稱：綠聯 USB-C/Type-C快充線 金屬編織版0.25M,綠聯 USB-C/Type-C快充線 金屬編織版0.25M(60124),"['◆3A(Max)大電流 全速快充 ◆360度保護 與脫線說再見', '◆優質尼龍編織 線身柔韌耐彎折 ◆升級鋁合金接頭 拒絕生鏽從頭開始', '◆加粗28/22AWG鍍錫銅芯 充電快速更穩定 ◆充電傳輸同步進行 高效省時']",129 元
通訊/平板,UG60125 / 名稱：綠聯 USB Type-C快充傳輸線 BRAID 0.5M,UGREEN綠聯 USB Type-C快充傳輸線 BRAID 0.5M(60125),"['◆UGR-60125', '★3A(Max)大電流全速快充★升級鋁合金接頭拒絕生鏽從頭開始', '★加粗28/22AWG鍍錫銅芯★充電傳輸同步進行高效省時']",139 元
通訊/平板,UG60126 / 名稱：綠聯 1M USB Type-C快充傳輸線 Aluminum BRA,UGREEN綠聯 1M USB Type-C快充傳輸線 Aluminum BRAID版(60126),"['◆3A(Max)大電流 全速快充 ◆360度保護 與脫線說再見', '◆優質尼龍編織 線身柔韌耐彎折 ◆升級鋁合金接頭 拒絕生鏽從頭開始', '◆加粗28/22AWG鍍錫銅芯 充電快速更穩定 ◆充電傳輸同步進行 高效省時']",149 元
通訊/平板,UG60161 / 名稱：綠聯 iPhone充電線 Lightning MFi認證 白 1米,UGREEN綠聯 iPhone充電線 Lightning 轉 USB快充傳輸線 MFi認證 編織版 白(1公尺),"['◆進口原廠晶片 本代號為銀白色', '◆兼容所有iOS系統 ◆尼龍編織 不斷線', '◆鍍金觸點 雙面可插 ◆2.4A大電流 充電快']",599 元
通訊/平板,UG60751 / 名稱：綠聯 MFi認證 C To Lightning 充電線(黑),綠聯 MFi認證 C To Lightning 充電線(黑),"['◆60751', '◆12mm加長網尾更耐用◆雙重認證 更快且安全◆智慧保護 呵護電池壽命◆耐用 無須頻繁換線', '◆蘋果原裝芯片 不彈窗◆支援PD快充協議 30分鐘充滿50%◆21AWG加粗鍍錫銅線芯 損耗小不傷機']",599 元
通訊/平板,UG60759 / 名稱：綠聯 蘋果MFi認證USB-C 轉 Lightning 3A 1米黑,UGREEN綠聯 iPhone充電線MFi認證 快充Type-C 2.0編織版USB-C對 Lightning 連接線 (1 公尺),"['◆真閃充 30分鐘充滿50% ◆蘋果原裝C94端子頭 傳輸更穩定 ◆網尾加厚加固 萬次彎折不斷裂', '◆多股尼龍交錯編織 線身不開裂 ◆iOS系統全兼容 不彈窗 ◆充電傳輸兩不誤', '◆智能保護 呵護電池 ◆21AWG加粗鍍錫銅線芯 充電傳輸不傷機 ◆鍍銠工藝 抗氧化不生鏽']",599 元
通訊/平板,UG60760 / 名稱：綠聯 蘋果MFi認證USB-C 轉 Lightning 快充傳輸線 金屬編織版,UGREEN綠聯 iPhone充電線MFi認證USB-C to Lightning快充傳輸線 1.5米金屬編織版,"['◆真閃充 30分鐘充滿50% ◆蘋果原裝C94端子頭 傳輸更穩定 ◆網尾加厚加固 萬次彎折不斷裂', '◆多股尼龍交錯編織 線身不開裂 ◆iOS系統全兼容 不彈窗 ◆充電傳輸兩不誤', '◆智能保護 呵護電池 ◆21AWG加粗鍍錫銅線芯 充電傳輸不傷機 ◆鍍銠工藝 抗氧化不生鏽']",649 元
通訊/平板,UG60761 / 名稱：綠聯 蘋果MFi認證C 轉Lightning 3A 2M,綠聯 蘋果MFi認證C 轉Lightning 3A 2M (60761),"['◆60761', '◆真閃充 30分鐘充滿50% ◆蘋果原裝C94端子頭 傳輸更穩定', '◆網尾加厚加固 萬次彎折不斷裂 ◆多股尼龍交錯編織 線身不開裂 ◆iOS系統全兼容 不彈窗']",649 元
通訊/平板,UG60788 / 名稱：綠聯Type-C 2.0快充傳輸線 黑色 3M(60788),綠聯Type-C 2.0快充傳輸線 黑色 3M(60788),"['◆60788', '◆3A快充電流 ◆40MB/s傳輸 ◆不傷機 快才有意義 ◆適用PD充電協議設備', '◆網尾加長加固不易脫線 ◆嚴苛測試 精選品質 ◆原廠編號：60788']",299 元
通訊/平板,UG70255 / 名稱：綠聯 USB-C/Type-C快充傳輸線 金屬編織L型/電競專用版(3公尺),UGREEN綠聯 USB-C/Type-C快充傳輸線 金屬編織L型/電競專用版(3公尺)(70255),"['◆選用28/22AWG銅芯 降低電阻減少發燙 ◆鋁合金接頭 抗氧化不生鏽', '◆3A (MAX)大電流 充電快 ◆過壓保護功能 不傷手機', '◆尼龍編織外被 柔軟韌性佳']",349 元
通訊/平板,UG70413 / 名稱：綠聯 3A快充電競線 USB-C/Type-C 金屬編織版,綠聯 3A快充電競線 USB-C/Type-C 金屬編織版,"['◆70413', '◆90度彎頭設計 邊充邊玩不擋手 ◆鋅合金一體成形工藝 抗氧化加倍耐用', '◆多股尼龍交錯 緊密包裹TPE線身 ◆28/22AWG加粗鍍錫銅芯 外加鋁箔地線屏蔽層']",299 元
通訊/平板,UG70427 / 名稱：綠聯 PD 100W 5A快充電線/傳輸線Type-C對Type-C,UGREEN綠聯 PD 100W 5A快充電線/傳輸線Type-C對Type-C金屬殼編織線(1公尺),"['◆5A大電流 充電快 ◆兼容廣 支援PD100W', '◆智慧芯片 安全快充不發燙 ◆編織線身不斷裂 ◆30/18AWG多股加粗鍍錫銅芯 穩定又安全', '◆高密度尼龍編織線身 持久耐用 ◆鋁合金外殼 抗氧化耐腐蝕']",299 元
通訊/平板,UG70429 / 名稱：綠聯 PD 100W 5A快充傳輸線Type-C 金屬殼編織線2米,UGREEN綠聯 PD 100W 5A快充電線/傳輸線Type-C對Type-C金屬殼編織線(2公尺),"['◆5A大電流 充電快 ◆兼容廣 支援PD100W', '◆智慧芯片 安全快充不發燙 ◆編織線身不斷裂 ◆30/18AWG多股加粗鍍錫銅芯 穩定又安全', '◆高密度尼龍編織線身 持久耐用 ◆鋁合金外殼 抗氧化耐腐蝕 ◆原廠編號：70429']",399 元
通訊/平板,UG70444 / 名稱：綠聯 USB Type-C轉HDMI母傳輸線 支援4K,UGREEN綠聯 USB Type-C轉HDMI母傳輸線 支援4K(70444),"['◆UGR-70444', '◆支援4K*2K@60Hz解析度 ◆搭載PS176+VL100高清轉換晶片', '◆鋁合金金屬外殼 散熱快不發燙 ◆多股尼龍交織 強韌抗拉扯 ◆接頭一體拉伸 網尾加固加長更牢固']",899 元
通訊/平板,UG70509 / 名稱：綠聯 蘋果 MFi Lightning轉3.5音源傳輸線1M,綠聯 蘋果 MFi Lightning轉3.5音源傳輸線1M,"['◆70509', '◆蘋果MFi認證穩定兼容 拒絕彈窗 ◆原廠認證芯片還原音樂細節', '◆蘋果手機連接車載音響 清晰播報導航 ◆適用帶有AUX接口的車型 ◆有光絲編織線身 告別頻繁換線']",799 元
通訊/平板,UG70523 / 名稱：綠聯 蘋果MFi認證USB-C 轉 Lightning 3A 1米,UGREEN綠聯 iPhone充電線MFi認證 快充Type-C 2.0編織版USB-C對 Lightning 連接線 (1 公尺),"['◆真閃充 30分鐘充滿50% ◆蘋果原裝C94端子頭 傳輸更穩定 ◆網尾加厚加固 萬次彎折不斷裂', '◆多股尼龍交錯編織 線身不開裂 ◆iOS系統全兼容 不彈窗 ◆充電傳輸兩不誤', '◆智能保護 呵護電池 ◆21AWG加粗鍍錫銅線芯 充電傳輸不傷機 ◆鍍銠工藝 抗氧化不生鏽']",599 元
通訊/平板,UG70529 / 名稱：綠聯 PD 60W快充Type-C對C金屬編織線 電競雙L型(70529),UGREEN綠聯 PD 60W快充Type-C對C金屬編織線 電競雙L型,"['◆70529', '◆90度直角設計 省空間不卡手 ◆高速60W PD快充技術 ◆480Mbps高速數據傳輸', '◆3A (Max)大電流 ◆安全充電不傷機 ◆原廠編號：70529']",199 元
通訊/平板,UG70645 / 名稱：綠聯 100W 5A快充電線/傳輸線C對C 編織L版2M,綠聯 100W 5A快充電線/傳輸線C對C 編織L版2M,"['◆70645', '◆支援PD100W快充 滿電不用等 ◆7毫米彎頭設計 靈活不擋手', '◆內建智慧晶片 安全不傷機 ◆尼龍緊密編織 耐用不磨損 ◆支援任天堂Switch TV模式充電']",599 元
通訊/平板,UG70696 / 名稱：綠聯 100W 5A快充傳輸線C對C金屬殼編織雙L版 1M(70696),綠聯 100W 5A快充傳輸線C對C金屬殼編織雙L版 1M,"['◆70696', '◆滿電不用等 支援PD100W快充 ◆靈活不擋手 7毫米彎頭設計', '◆安全不傷機 內置智慧晶片 ◆耐用不磨損 尼龍緊密編織 ◆支援任天堂Switch TV模式充電']",499 元
通訊/平板,UG70698 / 名稱：綠聯 100W 5A快充傳輸線C對C金屬殼編織雙L版 2M(70698),綠聯 100W 5A快充傳輸線C對C金屬殼編織雙L版 2M,"['◆70698', '◆滿電不用等 支援PD100W快充 ◆靈活不擋手 7毫米彎頭設計', '◆安全不傷機 內置智慧晶片 ◆耐用不磨損 尼龍緊密編織 ◆支援任天堂Switch TV模式充電']",599 元
通訊/平板,UG70773X / 名稱：綠聯 GaN充電器 Type-C 65W(3C1A）快充版,UGREEN綠聯 GaN充電器 Type-C 65W(3C1A）快充版 (70773X),"['◆PI GaN技術\n◆172g摺疊設計輕巧便攜', '◆4口同時充 不占插座\n◆支援PD快充協議\n◆低溫快充 不易燙', '◆核心三晶片 快充不傷機']",1499 元
通訊/平板,UG70889 / 名稱：綠聯 Type-C USB3.0 OTG傳輸線 金屬編織版70889,綠聯 Type-C USB3.0 OTG傳輸線 金屬編織版,"['◆70889', '◆USB3.0超快速傳輸◆支援OTG適用多種設備', '◆多股尼龍交錯編織線身◆鋁合金外殼保護力高']",249 元
通訊/平板,UG80147 / 名稱：綠聯 5A快充電競線Type-C 尼龍編織網 U型 1M(80147),綠聯 5A快充電競線Type-C 尼龍編織網 U型 1M,"['◆80147', '◆全新U型彎頭 任性操作不擋手 ◆支援40W超級快充 ◆內置智慧芯片 安全不傷機', '◆高強度尼龍編織 耐用不斷裂 ◆更易收納 節省空間 ◆加粗鍍錫銅線芯 多層屏蔽']",299 元
通訊/平板,UG80150 / 名稱：綠聯 USB-C/Type-C 3.1快充100W 高速傳輸10Gbps 4K影,UGREEN綠聯 USB-C/Type-C 3.1快充100W 高速傳輸10Gbps 4K影音 金屬殼編織 專業版 (1公尺),"['◆Type-C3.1 1000MB/s高速傳輸 ◆支援4K@60Hz高清投影 ◆5A大電流 支援PD100W快充', '◆支援Switch 2.5小時快速滿電 ◆內建智慧晶片 穩定快充不傷機 ◆多股高強度尼龍編織 耐磨損不斷裂', '◆高韌性防爆裂TPE加長網尾 更耐彎折 ◆原廠編號：80150']",749 元
通訊/平板,UG80635 / 名稱：綠聯 iPhone充電線MFi認證 收納皮帶版 (1公尺）,綠聯 iPhone充電線MFi認證 收納皮帶版 (1公尺）,"['80635', '◆MFi官方認證傳輸線 ◆2.4A大電流 快速充電 ◆加粗線芯 多層屏蔽安全不傷機 ◆充電傳輸二合一', '◆附收納皮帶 ◆蘋果認證C89端子頭 傳輸更穩定']",649 元
通訊/平板,UG80822 / 名稱：綠聯 iPhone充電線 Lightning MFi認證 黑 1米,UGREEN綠聯 iPhone充電線 Lightning 轉 USB快充傳輸線 MFi認證 編織版 黑(1公尺),"['★全兼容iOS系統', '★蘋果MFI官方認證，進口原裝插頭 ★2.4A穩定電流輸出', '★數據傳輸順暢自如 ★2822AWG高品質鍍錫銅芯']",599 元
通訊/平板,UG90215 / 名稱：綠聯 90W 3C1A 4口氮化鎵快速充,綠聯 90W 3C1A 4埠氮化鎵快速充電器 (90215),"['◆90215', '◆兼容2台筆電快充更強勁 ◆四口皆快充更高效 ◆新升級氮化鎵更安全 ◆摺疊腳設計更便捷', '◆多種快充協議相容更廣泛 ◆多重保護為您過濾危險 ◆商品核准BSMI字']",1399 元
通訊/平板,UGC50800 / 名稱：綠聯USB-C/Type-C 20W PD迷你快充充電器C50800,綠聯USB-C/Type-C 20W PD迷你快充充電器,"['◆C50800', '◆極致輕巧 不占體積◆兼容多種快充協議◆商品核准BSMI字號：R45310', '◆重量僅34g 輕便好攜帶◆支援iPhone8-12系列快充功能']",490 元
通訊/平板,VYUSBAF8F18A / 名稱：Apple USB快充線1.8m,**限搭配促銷活動用** 請勿下單,"['', '', '']",399 元
通訊/平板,VYUSBAF8F610A / 名稱：Apple USB快充短線1.0m,**限搭配促銷活動用**,"['', '', '']",299 元
通訊/平板,WTCOTG-2 / 名稱：TCELL TYPE-C公轉USB母香檳金,TCELL TYPE-C/USB轉接頭(香檳金),"['◆TCELL冠元', '◆iPhone等級金屬合金外殼', '◆Type-C轉USB3.0介面，向下相容USB2.0']",199 元
通訊/平板,WTCOTG-3 / 名稱：TCELL TYPE-C公轉USB母太空灰,TCELL TYPE-C/USB轉接頭(太空灰),"['◆TCELL冠元', '◆iPhone等級金屬合金外殼', '◆Type-C轉USB3.0介面，向下相容USB2.0']",199 元
通訊/平板,YAWD-CB-UB002 / 名稱：TypeC to HDMI+USB Power Cable,AWD-CB-UB002,"['◆AWD-CB-UB002', '◆支援最高HDMI 2.0，支援HDCP 1.4 / 2.2，支援USB Power 5V 1.5A，HDMI 2.0傳輸最高達6 Gbps', '◆解析度最高可達3840 x 2160 / 60Hz，支援OS：MAC OS/X、Chrome OS、Windows、Android']",990 元
通訊/平板,YMFIUGR-50205 / 名稱：綠聯 1M MFi三合一萬用手機快充傳輸線 BARID版,綠聯 1M MFi三合一萬用手機快充傳輸線 BARID版,"['◆50205', '◆認證芯片，不傷電池 / 穩定供電， 讓你盡情玩樂', '◆肆意彎折，無需擔心開裂/ 尼龍強化編織線，更耐用']",749 元
通訊/平板,YUAF8FAH2012LW / 名稱：tama CORDURA Apple認證 充電&傳輸線-白色 1.2米,tama CORDURA apple 1.2m線 白色,"['◆日本 tama`s AH2012LW', '◆日本品牌在日本便利商店藥妝上架商品,也在日本網站熱銷.材質使用美國DUPONT CORDURA Kevlar 抗拉耐折材質.', '◆']",499 元
通訊/平板,YUAF8FMMIP-1-MFIB / 名稱：Meet Mind lightning MFI認證充電傳輸線-黑色 1.2米,Meet Mind lightning MFI認證充電傳輸線-黑色 1.2米,"['◆Meet Mind ,MMIP-1-MFI-B', '◆apple 原廠MFI認證,USB-A 頭防呆可雙面插設計,魚絲網線材抗拉扯.', '◆長度1.2m,充電電流2.4A,鋁合金外殼接口美觀及耐壓不挑手機保護殼.']",399 元
通訊/平板,YUAF8FMMIP-1-MFIW / 名稱：Meet Mind lightning MFI認證充電傳輸線-白色 1.2米,Meet Mind lightning充電傳輸線-白色,"['◆Meet Mind ,MMIP-1-MFI-W', '◆apple 原廠MFI認證,USB-A 頭防呆可雙面插設計,魚絲網線材抗拉扯.', '◆長度1.2m,充電電流2.4A,鋁合金外殼接口美觀及耐壓不挑手機保護殼.']",399 元
通訊/平板,YUSBUB-272 / 名稱：A公MicroB公鍍金1.8米,USB 2.0A公/Micro B公鍍金透明線1.8米,"['', '', '']",189 元
通訊/平板,YUSBUB-275 / 名稱：A母MicroB公鍍金 20cm,USB 2.0 A母/Micro B公鍍金透明延長線 20CM,"['◆UB-275', '◆USB接頭使用高純度鍍金頭', '◆使用高規格純銅導體所製成的線體']",99 元
通訊/平板,YUSBUB-280 / 名稱：MINI5P公:MICRO B15CM,MINI 5P公 轉 Micro B 公 15CM (UB-280),"['◆廠牌：世淇 UB-280', '◆外接電池盒專用線', '']",83 元
通訊/平板,YUSBUS-151 / 名稱：USB 3.1 Type-C-3.0A公 10Gbps高速傳輸線 1米,USB 3.1 Type-C-3.0A公 10Gbps高速傳輸線 1米,"['‧能夠使用在搭載USB 3.1/USB3.0/USB2.0的電腦上', '‧可接在最大電流5V,3A的機器上充電使用', '‧新規格的USB Type-C線材不分正反面，兩面皆可插入使用']",339 元
通訊/平板,YUSBUS-153 / 名稱：Type-C-3.0Micro B公高速傳輸線 1米,USB 3.1 Type-C-3.0Micro B公 10Gbps高速傳輸線 1米,"['‧能夠使用在搭載USB 3.1/USB3.0/USB2.0的電腦上', '‧可接在最大電流5V,3A的機器上充電使用', '‧新規格的USB Type-C線材不分正反面，兩面皆可插入使用']",339 元
通訊/平板,YVD176 / 名稱：MHL:VGA影像轉換線,MHL 轉 VGA 影像聲音轉換線 VD-176,"['◆MHL 轉 VGA 影像聲音轉換線 VD-176', '◆可支援三星 /HTC / 蝴蝶機 / LG / SONY /華為/諾基亞/小米/ACER 等廠牌具備MHL功能的手機與平板。', '']",842 元
通訊/平板,ZGT-1097BK / 名稱：GT-1097 線控自拍桿-黑色,GT-1097 線控自拍桿-黑色,"['◆【宇堂/篆楷/GLITTER】GT-1097', '◆獨特凹槽線設計，不只美觀，更加方便，即使手機較重，再也不左右旋轉！', '◆一個線控按鍵，不需擔心忘記帶電池。']",199 元
通訊/平板,ZGT-2162BL / 名稱：GT-2162 Micro 充電傳輸線-藍,GT-2162 Micro 充電傳輸線-藍,"['◆【宇堂/篆楷/GLITTER】GT-2162', '◆ 線材本體採用尼龍網成型，美觀並強化線材防拉扯，不易打結。', '◆USB 2.0規格隨插即用，可同步進行充電與資料傳輸功能。']",480 元
通訊/平板,ZGT-550 / 名稱：GT-550 超值感手機耳麥,GT-550 超值感手機耳麥,"['◆【宇堂/篆楷/GLITTER】GT-550', '◆氣密式設計，音質清晰，可隔絕外界環境，降低外界噪音。', '◆輕量型耳機設計，在慢跑、運動、騎車或旅行中也能方便攜帶隨時聆聽音樂娛樂。']",439 元
通訊/平板,ZGT-968GY / 名稱：觸控筆 GT-968 工具觸控筆-銀,觸控筆 GT-968 工具觸控筆-銀,"['◆【宇堂/篆楷/GLITTER】GT-968', '◆超高CP值創意設計，增加量尺標，水平儀，螺絲起子等常用工具，可搞定外出，辦公急用需求', '◆時尚金屬色系筆身，整體造型簡約時尚，握感舒適。']",204 元
通訊/平板,ZGT-968R / 名稱：觸控筆 GT-968 工具觸控筆-紅,觸控筆 GT-968 工具觸控筆-紅,"['◆【宇堂/篆楷/GLITTER】GT-968', '◆超高CP值創意設計，增加量尺標，水平儀，螺絲起子等常用工具，可搞定外出，辦公急用需求', '◆時尚金屬色系筆身，整體造型簡約時尚，握感舒適。']",159 元
通訊/平板,ZKTWTCFAM-BK / 名稱：USB3.0 A母轉TypeC公轉接頭 黑,USB3.0/TYPE C/轉接頭/高速傳輸/正反插拔/即插即用/OTG功能/充電/傳輸,"['◆Type-C插頭不分正反隨意插拔.即插即用', '◆USB3.0介面.穩定傳輸快.120Mbps傳輸速度', '◆應用於USB TYPE-C週邊設備達到共用及OTG功能']",69 元
通訊/平板,ZKYCR-13 / 名稱：3孔車用點煙器擴充座,【KINYO】3孔車用點煙器擴充座 CR13,"['◆具三個點煙器擴充插座設計，可加裝車用電器用品。', '◆安全保險絲設計，預防異常電流，保護您的外接產品。', '◆附贈雙面背膠，可黏貼於固定位置。']",99 元
通訊/平板,ZPENJETP3020 / 名稱：伸縮電容式觸控筆鐵灰,,"['◆電容式觸控筆-行動電話、平板電腦、電子書、皆適用.', '◆伸縮型.', '']",216 元
通訊/平板,ZYUAF8FMMIP-1-MFI / 名稱：Meet Mind lightning MFI認證充,Meet Mind lightning充電傳輸線-灰色,"['◆Meet Mind ,MMIP-1-MFI-LK', '◆apple 原廠MFI認證,USB-A 頭防呆可雙面插設計,魚絲網線材抗拉扯.', '◆長度1.2m,充電電流2.4A,鋁合金外殼接口美觀及耐壓不挑手機保護殼.']",399 元
日用百貨,LSPGN-7001 / 名稱：明家7LED智能感應燈(360度旋轉),明家7LED智能感應燈(360度旋轉),"['◆GN-7001 ◆廠牌：明家', '◆7LED 燈光明亮 ◆底部360度旋轉◆燈頭180度旋轉', '◆人體感應◆黏貼照明']",290 元
日用百貨,PNWDLEMAA001 / 名稱：群加 特長球頭六角扳手9件組(WDLEMAA001),群加 Powersync 包爾星克 特長球頭六角扳手9件組(WDLEMAA001),"['‧ 球頭內六角設計，各種角度皆可使用', '‧ 鉻釩鋼手柄，高耐磨、高硬度特性', '‧ 扳手收納架，方便自由提取及收納功能']",237 元
日用百貨,PNWDLEMAA002 / 名稱：群加 標準長球頭六角扳手9件組,群加 PowerSync 包爾星克 標準長球頭六角扳手9件組(WDLEMAA002),"['‧ 球頭內六角設計，各種角度皆可使用', '‧ 鉻釩鋼手柄，高耐磨、高硬度特性', '‧ 扳手收納架，方便自由提取及收納功能']",259 元
日用百貨,PNWHT-002 / 名稱：群加 精密鐘錶維修螺絲起子6件組,群加 PowerSync 包爾星克 精密鐘錶維修螺絲起子6件組 ‧ 一字、十字螺絲起子，可依不同需求使用,"['‧ 精密研磨的尖端，可輕鬆拆卸或鎖緊小螺絲', '‧ 一字、十字螺絲起子，可依不同需求使用', '‧ 家庭必備工具，可用於家用電器簡易維修']",129 元
日用百貨,UG80459 / 名稱：綠聯 38合1螺絲刀套裝 精修螺絲工具套裝,綠聯 38合1螺絲刀套裝 精修螺絲工具套裝,"['◆80459', '◆適用多種設備 手機/電腦/相機 ◆Cr-V鉻釩鋼 堅固耐用 ◆強磁鐵吸附 螺絲不掉', '◆內置軸承 旋轉更順暢 ◆36枚刀頭 滿足日常拆卸需求 ◆附帶60mm延長/助力桿']",599 元
日用百貨,ZKYHL8Y / 名稱：螺旋省電燈泡8W黃,半螺旋省電燈泡8W黃光 國家認證 即時點亮 / 高防護 超省電 超長壽命,"['◆通過CNS國家認證，選購更安心，安全有保障。', '◆採用電子安定器，瞬間點亮，不閃爍，不傷眼。', '◆省電80%，亮度同115W白熾燈泡。']",99 元
生活用品,EBCWF042GR / 名稱：U5大容量旅行防震收納包 鐵灰,E-books U5大容量旅行防震收納包 鐵灰 E-CWF042GR,"['◆表面硬殼處理，抗壓、防水、耐衝擊', '◆擁有16.5x10x5.5cm大內裝，可放6吋以下手機', '◆大齒拉鍊與雙拉鍊設計，左拉右拉滑順耐用']",299 元
生活用品,EBCWF042RG / 名稱：U5大容量旅行防震收納包 玫瑰金,E-books U5大容量旅行防震收納包 玫瑰金 E-CWF042RG,"['◆表面硬殼處理，抗壓、防水、耐衝擊', '◆擁有16.5x10x5.5cm大內裝，可放6吋以下手機', '◆大齒拉鍊與雙拉鍊設計，左拉右拉滑順耐用']",299 元
生活用品,EBE-IPE169BL / 名稱：E-books V4 智慧手環錶帶 藍色,【E-Books】V4 智慧手環錶帶,"['優質矽膠材質，更輕巧配戴韌性佳，服貼肌膚', '9孔固定扣調節，符合多種不同手腕寬度的使用者', '']",79 元
生活用品,EBE-IPE169GN / 名稱：E-books V4 智慧手環錶帶 綠色,【E-Books】V4 智慧手環錶帶,"['優質矽膠材質，更輕巧配戴韌性佳，服貼肌膚', '9孔固定扣調節，符合多種不同手腕寬度的使用者', '']",79 元
生活用品,EBE-IPE169RD / 名稱：E-books V4 智慧手環錶帶 紅色,【E-Books】V4 智慧手環錶帶,"['優質矽膠材質，更輕巧配戴韌性佳，服貼肌膚', '9孔固定扣調節，符合多種不同手腕寬度的使用者', '']",79 元
生活用品,KTLM-E3C30S / 名稱：巧奇成人醫用口罩30片入單片包-莫蘭迪系列 AD30,成人醫用口罩 30片入單片包-莫蘭迪系列 AD30 每色3片，一盒共30片(單片包),"['每色3片，一盒共30片(單片包)', '秋冬流行色-莫蘭迪系列 10種顏色任您搭 每天可搭配服裝及心情配色~', '單片包裝 外出攜帶好方便 送禮自用兩相宜 台灣製造，獨家印刷設計款']",239 元
生活用品,KTLM-E4C30BL / 名稱：【巧奇】成人醫用口罩 30片入-霧灰滿版系列【蔚藍】-台灣製 MD雙鋼印,【巧奇】成人醫用口罩 30片入-霧灰滿版系列【蔚藍】-台灣製 MD雙鋼印,"['數量：30入', '材質：防潑水不織布、熔噴布、親膚層不織布', '台灣製造 衛部醫器製壹字第 009162 號']",169 元
生活用品,KTLM-E4C30DB / 名稱：【巧奇】成人醫用口罩 30片入-霧灰滿版系列【蒼青】-台灣製 MD雙鋼印,【巧奇】成人醫用口罩 30片入-霧灰滿版系列【蒼青】-台灣製 MD雙鋼印,"['數量：30入', '材質：防潑水不織布、熔噴布、親膚層不織布', '台灣製造 衛部醫器製壹字第 009162 號']",169 元
生活用品,KTLM-E4C30GL / 名稱：【巧奇】成人醫用口罩 30片入-霧灰滿版系列【萊茵灰】-台灣製 MD雙鋼印,【巧奇】成人醫用口罩 30片入-霧灰滿版系列【萊茵灰】-台灣製 MD雙鋼印,"['數量：30入', '材質：防潑水不織布、熔噴布、親膚層不織布', '台灣製造 衛部醫器製壹字第 009162 號']",169 元
生活用品,KTLM-E4C30GN / 名稱：【巧奇】成人醫用口罩 30片入-霧灰滿版系列【軍綠】-台灣製 MD雙鋼印,巧奇】成人醫用口罩 30片入-霧灰滿版系列【軍綠】-台灣製 MD雙鋼印,"['數量：30入', '材質：防潑水不織布、熔噴布、親膚層不織布', '台灣製造 衛部醫器製壹字第 009162 號']",169 元
生活用品,KTLM-E4C30GY / 名稱：【巧奇】成人醫用口罩 30片入-霧灰滿版系列【炭灰】-台灣製 MD雙鋼印,【巧奇】成人醫用口罩 30片入-霧灰滿版系列【炭灰】-台灣製 MD雙鋼印,"['數量：30入', '材質：防潑水不織布、熔噴布、親膚層不織布', '台灣製造 衛部醫器製壹字第 009162 號']",169 元
